t,q1,q2,dq1,dq2,tip_x,tip_y,tip_z,tip_x_rel,tip_z_rel,elbow_x,elbow_z,step_idx
22.4720000000,7.5080996575,-0.3618995811,1.7974995176,-5.6565658373,0.9891763110,0.0000000000,0.7994170874,0.9891763110,-1.7005829126,0.6686330255,1.1740242642,11236.0000000000
22.4740000000,7.5116839242,-0.3731638269,1.7867308707,-5.6075665075,0.9916182118,0.0000000000,0.8032234697,0.9916182118,-1.6967765303,0.6682074293,1.1753578548,11237.0000000000
22.4760000000,7.5152464444,-0.3843294174,1.7757572675,-5.5579224557,0.9939799582,0.0000000000,0.8070428069,0.9939799582,-1.6929571931,0.6677491838,1.1767075423,11238.0000000000
22.4780000000,7.5187868333,-0.3953951335,1.7646036460,-5.5077034090,0.9962622376,0.0000000000,0.8108728555,0.9962622376,-1.6891271445,0.6672588759,1.1780721512,11239.0000000000
22.4800000000,7.5223047548,-0.4063598920,1.7532937281,-5.4569756442,0.9984657824,0.0000000000,0.8147114203,0.9984657824,-1.6852885797,0.6667370926,1.1794505205,11240.0000000000
22.4820000000,7.5257999191,-0.4172227389,1.7418500156,-5.4058019780,1.0005913661,0.0000000000,0.8185563563,1.0005913661,-1.6814436437,0.6661844197,1.1808415051,11241.0000000000
22.4840000000,7.5292720799,-0.4279828423,1.7302937944,-5.3542417824,1.0026397991,0.0000000000,0.8224055693,1.0026397991,-1.6775944307,0.6656014414,1.1822439777,11242.0000000000
22.4860000000,7.5327210327,-0.4386394858,1.7186451467,-5.3023510234,1.0046119249,0.0000000000,0.8262570176,1.0046119249,-1.6737429824,0.6649887382,1.1836568299,11243.0000000000
22.4880000000,7.5361466115,-0.4491920612,1.7069229700,-5.2501823177,1.0065086160,0.0000000000,0.8301087121,1.0065086160,-1.6698912879,0.6643468870,1.1850789728,11244.0000000000
22.4900000000,7.5395486874,-0.4596400627,1.6951450017,-5.1977850070,1.0083307706,0.0000000000,0.8339587172,1.0083307706,-1.6660412828,0.6636764597,1.1865093387,11245.0000000000
22.4920000000,7.5429271654,-0.4699830797,1.6833278486,-5.1452052447,1.0100793094,0.0000000000,0.8378051505,1.0100793094,-1.6621948495,0.6629780227,1.1879468812,11246.0000000000
22.4940000000,7.5462819830,-0.4802207908,1.6714870202,-5.0924860939,1.0117551720,0.0000000000,0.8416461832,1.0117551720,-1.6583538168,0.6622521363,1.1893905762,11247.0000000000
22.4960000000,7.5496131074,-0.4903529579,1.6596369651,-5.0396676344,1.0133593145,0.0000000000,0.8454800395,1.0133593145,-1.6545199605,0.6614993540,1.1908394219,11248.0000000000
22.4980000000,7.5529205337,-0.5003794201,1.6477911100,-4.9867870760,1.0148927060,0.0000000000,0.8493049965,1.0148927060,-1.6506950035,0.6607202220,1.1922924400,11249.0000000000
22.5000000000,7.5562042829,-0.5103000879,1.6359618999,-4.9338788766,1.0163563268,0.0000000000,0.8531193834,1.0163563268,-1.6468806166,0.6599152789,1.1937486748,11250.0000000000
22.5020000000,7.5594644001,-0.5201149384,1.6241608399,-4.8809748636,1.0177511654,0.0000000000,0.8569215811,1.0177511654,-1.6430784189,0.6590850553,1.1952071946,11251.0000000000
22.5040000000,7.5627009522,-0.5298240097,1.6123985379,-4.8281043569,1.0190782165,0.0000000000,0.8607100212,1.0190782165,-1.6392899788,0.6582300733,1.1966670905,11252.0000000000
22.5060000000,7.5659140266,-0.5394273962,1.6006847467,-4.7752942924,1.0203384788,0.0000000000,0.8644831852,1.0203384788,-1.6355168148,0.6573508467,1.1981274773,11253.0000000000
