t,q1,q2,dq1,dq2,tip_x,tip_y,tip_z,tip_x_rel,tip_z_rel,elbow_x,elbow_z,step_idx
0.1580000000,4.7064929877,1.5825124482,0.0026510725,2.2775338309,0.9940871294,0.0000000000,3.4941625185,0.9940871294,0.9941625185,0.5010655266,3.4970320023,79.0000000000
0.1600000000,4.7065023052,1.5870925392,0.0066918038,2.3025366417,0.9940592052,0.0000000000,3.4895733198,0.9940592052,0.9895733198,0.5010559637,3.4947054431,80.0000000000
0.1620000000,4.7065198573,1.5917225124,0.0108860697,2.3274160421,0.9940175807,0.0000000000,3.4849262782,0.9940175807,0.9849262782,0.5010435151,3.4923495831,81.0000000000
0.1640000000,4.7065459532,1.5964021208,0.0152360128,2.3521716080,0.9939617548,0.0000000000,3.4802214440,0.9939617548,0.9802214440,0.5010280791,3.4899644484,82.0000000000
0.1660000000,4.7065809066,1.6011311161,0.0197437899,2.3768029418,0.9938912202,0.0000000000,3.4754588713,0.9938912202,0.9754588713,0.5010095531,3.4875500670,83.0000000000
0.1680000000,4.7066250351,1.6059092495,0.0244115727,2.4013096722,0.9938054628,0.0000000000,3.4706386185,0.9938054628,0.9706386185,0.5009878331,3.4851064692,84.0000000000
0.1700000000,4.7066786610,1.6107362714,0.0292415480,2.4256914535,0.9937039620,0.0000000000,3.4657607487,0.9937039620,0.9657607487,0.5009628142,3.4826336870,85.0000000000
0.1720000000,4.7067421109,1.6156119318,0.0342359184,2.4499479652,0.9935861908,0.0000000000,3.4608253292,0.9935861908,0.9608253292,0.5009343901,3.4801317548,86.0000000000
0.1740000000,4.7068157157,1.6205359796,0.0393969024,2.4740789114,0.9934516152,0.0000000000,3.4558324322,0.9934516152,0.9558324322,0.5009024533,3.4776007091,87.0000000000
0.1760000000,4.7068998110,1.6255081635,0.0447267353,2.4980840206,0.9932996951,0.0000000000,3.4507821344,0.9932996951,0.9507821344,0.5008668954,3.4750405887,88.0000000000
0.1780000000,4.7069947367,1.6305282316,0.0502276695,2.5219630450,0.9931298831,0.0000000000,3.4456745180,0.9931298831,0.9456745180,0.5008276065,3.4724514349,89.0000000000
0.1800000000,4.7071008373,1.6355959315,0.0559019747,2.5457157598,0.9929416255,0.0000000000,3.4405096700,0.9929416255,0.9405096700,0.5007844757,3.4698332911,90.0000000000
0.1820000000,4.7072184617,1.6407110103,0.0617519386,2.5693419632,0.9927343617,0.0000000000,3.4352876830,0.9927343617,0.9352876830,0.5007373910,3.4671862033,91.0000000000
0.1840000000,4.7073479637,1.6458732149,0.0677798673,2.5928414751,0.9925075243,0.0000000000,3.4300086548,0.9925075243,0.9300086548,0.5006862389,3.4645102202,92.0000000000
0.1860000000,4.7074897014,1.6510822916,0.0739880860,2.6162141373,0.9922605393,0.0000000000,3.4246726893,0.9922605393,0.9246726893,0.5006309052,3.4618053928,93.0000000000
0.1880000000,4.7076440378,1.6563379868,0.0803789389,2.6394598123,0.9919928254,0.0000000000,3.4192798959,0.9919928254,0.9192798959,0.5005712740,3.4590717750,94.0000000000
0.1900000000,4.7078113405,1.6616400462,0.0869547901,2.6625783831,0.9917037948,0.0000000000,3.4138303902,0.9917037948,0.9138303902,0.5005072287,3.4563094233,95.0000000000
0.1920000000,4.7079919819,1.6669882155,0.0937180236,2.6855697523,0.9913928526,0.0000000000,3.4083242941,0.9913928526,0.9083242941,0.5004386512,3.4535183971,96.0000000000
0.1940000000,4.7081863391,1.6723822403,0.1006710445,2.7084338419,0.9910593970,0.0000000000,3.4027617358,0.9910593970,0.9027617358,0.5003654225,3.4506987587,97.0000000000
0.1960000000,4.7083947942,1.6778218660,0.1078162785,2.7311705922,0.9907028191,0.0000000000,3.3971428504,0.9907028191,0.8971428504,0.5002874221,3.4478505733,98.0000000000
0.1980000000,4.7086177340,1.6833068378,0.1151561729,2.7537799613,0.9903225031,0.0000000000,3.3914677795,0.9903225031,0.8914677795,0.5002045287,3.4449739092,99.0000000000
0.2000000000,4.7088555503,1.6888369009,0.1226931967,2.7762619247,0.9899178260,0.0000000000,3.3857366721,0.9899178260,0.8857366721,0.5001166195,3.4420688376,100.0000000000
0.2020000000,4.7091086399,1.6944118005,0.1304298414,2.7986164745,0.9894881577,0.0000000000,3.3799496841,0.9894881577,0.8799496841,0.5000235707,3.4391354331,101.0000000000
0.2040000000,4.7093774044,1.7000312818,0.1383686208,2.8208436184,0.9890328610,0.0000000000,3.3741069792,0.9890328610,0.8741069792,0.4999252574,3.4361737736,102.0000000000
0.2060000000,4.7096622508,1.7056950901,0.1465120720,2.8429433796,0.9885512914,0.0000000000,3.3682087288,0.9885512914,0.8682087288,0.4998215535,3.4331839403,103.0000000000
0.2080000000,4.7099635909,1.7114029705,0.1548627550,2.8649157954,0.9880427973,0.0000000000,3.3622551120,0.9880427973,0.8622551120,0.4997123316,3.4301660176,104.0000000000
0.2100000000,4.7102818417,1.7171546684,0.1634232539,2.8867609172,0.9875067198,0.0000000000,3.3562463163,0.9875067198,0.8562463163,0.4995974634,3.4271200937,105.0000000000
0.2120000000,4.7106174255,1.7229499293,0.1721961765,2.9084788093,0.9869423925,0.0000000000,3.3501825376,0.9869423925,0.8501825376,0.4994768192,3.4240462604,106.0000000000
0.2140000000,4.7109707698,1.7287884989,0.1811841551,2.9300695484,0.9863491421,0.0000000000,3.3440639804,0.9863491421,0.8440639804,0.4993502682,3.4209446130,107.0000000000
0.2160000000,4.7113423073,1.7346701228,0.1903898464,2.9515332227,0.9857262874,0.0000000000,3.3378908583,0.9857262874,0.8378908583,0.4992176788,3.4178152508,108.0000000000
0.2180000000,4.7117324761,1.7405945471,0.1998159320,2.9728699312,0.9850731402,0.0000000000,3.3316633939,0.9850731402,0.8316633939,0.4990789177,3.4146582767,109.0000000000
0.2200000000,4.7121417197,1.7465615180,0.2094651187,2.9940797830,0.9843890046,0.0000000000,3.3253818195,0.9843890046,0.8253818195,0.4989338511,3.4114737978,110.0000000000
0.2220000000,4.7125704871,1.7525707817,0.2193401385,3.0151628965,0.9836731773,0.0000000000,3.3190463769,0.9836731773,0.8190463769,0.4987823435,3.4082619251,111.0000000000
0.2240000000,4.7130192327,1.7586220851,0.2294437488,3.0361193985,0.9829249477,0.0000000000,3.3126573182,0.9829249477,0.8126573182,0.4986242587,3.4050227739,112.0000000000
0.2260000000,4.7134884163,1.7647151750,0.2397787330,3.0569494235,0.9821435974,0.0000000000,3.3062149058,0.9821435974,0.8062149058,0.4984594592,3.4017564637,113.0000000000
0.2280000000,4.7139785037,1.7708497986,0.2503478999,3.0776531130,0.9813284004,0.0000000000,3.2997194124,0.9813284004,0.7997194124,0.4982878066,3.3984631183,114.0000000000
